name,synonyms,name_sd,synonyms_sd,bm25,fw,bm25_fw,ensemble,match
Boohoo Group PLC,,boohoo  ,,"[('BOOHOO GROUP PLC', 0.9), ('H&H GROUP PLC', 0.8), ('4IMPRINT GROUP PLC', 0.7), ('C&C Group plc', 0.6), ('7DIGITAL GROUP PLC', 0.5)]",,"[('BOOHOO GROUP PLC', 100), ('H&H GROUP PLC', 86), ('C&C Group plc', 86), ('4IMPRINT GROUP PLC', 68), ('7DIGITAL GROUP PLC', 68)]","{'BOOHOO GROUP PLC': 1.9, 'H&H GROUP PLC': 1.6600000000000001, '4IMPRINT GROUP PLC': 1.38, 'C&C Group plc': 1.46, '7DIGITAL GROUP PLC': 1.1800000000000002}",BOOHOO GROUP PLC
NINTENDO CO LTD,,nintendo  ,,"[('NINTENDO OF AMERICA INC.', 0.9), ('Revo2 Co Ltd', 0.8), ('CO-OP Trading Co Ltd', 0.7), ('Tagnaz Co Ltd', 0.6), ('Yulin Co Ltd', 0.5)]",,"[('NINTENDO OF AMERICA INC.', 86), ('Revo2 Co Ltd', 67), ('Yulin Co Ltd', 67), ('Tagnaz Co Ltd', 64), ('CO-OP Trading Co Ltd', 54)]","{'NINTENDO OF AMERICA INC.': 1.76, 'Revo2 Co Ltd': 1.4700000000000002, 'CO-OP Trading Co Ltd': 1.24, 'Tagnaz Co Ltd': 1.24, 'Yulin Co Ltd': 1.17}",NINTENDO OF AMERICA INC.
Masco Corporation,,masco ,,"[('MASCO CORPORATION', 0.9), ('MASCO S.R.L.', 0.8), ('Masco Europe S.à r.l.', 0.7), ('MASCO CORPORATION RETIREMENT MASTER TRUST', 0.6), ('MASCO STEEL INDUSTRIES LTD.', 0.5)]",,"[('MASCO CORPORATION', 100), ('MASCO CORPORATION RETIREMENT MASTER TRUST', 90), ('MASCO S.R.L.', 86), ('MASCO STEEL INDUSTRIES LTD.', 86), ('Masco Europe S.à r.l.', 50)]","{'MASCO CORPORATION': 1.9, 'MASCO S.R.L.': 1.6600000000000001, 'Masco Europe S.à r.l.': 1.2, 'MASCO CORPORATION RETIREMENT MASTER TRUST': 1.5, 'MASCO STEEL INDUSTRIES LTD.': 1.3599999999999999}",MASCO CORPORATION
Trane Technologies,Ingersoll-Rand Plc,trane technologies,ingersoll-rand ,"[('Trane AS', 0.9), ('TRANE U.S. INC.', 0.8), ('VIDAR TRANE TRAFIKKSKOLE AS', 0.7), ('Trane Taiwan Distribution Ltd', 0.6), ('Standard Trane Insurance Ireland DAC', 0.5)]",,"[('Trane AS', 86), ('VIDAR TRANE TRAFIKKSKOLE AS', 86), ('Trane Taiwan Distribution Ltd', 86), ('Standard Trane Insurance Ireland DAC', 86), ('TRANE U.S. INC.', 53)]","{'Trane AS': 1.76, 'TRANE U.S. INC.': 1.33, 'VIDAR TRANE TRAFIKKSKOLE AS': 1.56, 'Trane Taiwan Distribution Ltd': 1.46, 'Standard Trane Insurance Ireland DAC': 1.3599999999999999}",Trane AS
Stagecoach Group plc,,stagecoach  ,,"[('STAGECOACH GROUP PLC', 0.9), ('Stagecoach Group Pension Scheme', 0.8), ('RTI STAGECOACH LIMITED', 0.7), ('TEAM17 GROUP PLC', 0.6), ('H&H GROUP PLC', 0.5)]",,"[('STAGECOACH GROUP PLC', 100), ('Stagecoach Group Pension Scheme', 86), ('H&H GROUP PLC', 86), ('TEAM17 GROUP PLC', 72), ('RTI STAGECOACH LIMITED', 64)]","{'STAGECOACH GROUP PLC': 1.9, 'Stagecoach Group Pension Scheme': 1.6600000000000001, 'RTI STAGECOACH LIMITED': 1.3399999999999999, 'TEAM17 GROUP PLC': 1.3199999999999998, 'H&H GROUP PLC': 1.3599999999999999}",STAGECOACH GROUP PLC
WH GROUP LTD,,wh  ,,"[('Oy WH Invest Ltd', 0.9), ('GLM MS WH, LTD.', 0.8), ('WH Holding j. s. a.', 0.7), ('WH Altera B.V.', 0.6), ('WH GmbH', 0.5)]",,"[('WH Holding j. s. a.', 86), ('WH GmbH', 86), ('Oy WH Invest Ltd', 64), ('GLM MS WH, LTD.', 64), ('WH Altera B.V.', 40)]","{'Oy WH Invest Ltd': 1.54, 'GLM MS WH, LTD.': 1.44, 'WH Holding j. s. a.': 1.56, 'WH Altera B.V.': 1.0, 'WH GmbH': 1.3599999999999999}",WH Holding j. s. a.
Dai-Ichi Life Holdings,Dai-Ichi Life,dai-ichi life holdings,dai-ichi life,"[('EQUI LIFE HOLDINGS LIMITED', 0.9), ('STANDARD LIFE HOLDINGS LIMITED', 0.8), ('RBS LIFE HOLDINGS LIMITED', 0.7), ('NP LIFE HOLDINGS LIMITED', 0.6), ('FRIENDS LIFE HOLDINGS PLC', 0.5)]",,"[('EQUI LIFE HOLDINGS LIMITED', 71), ('STANDARD LIFE HOLDINGS LIMITED', 70), ('RBS LIFE HOLDINGS LIMITED', 70), ('NP LIFE HOLDINGS LIMITED', 70), ('FRIENDS LIFE HOLDINGS PLC', 70)]","{'EQUI LIFE HOLDINGS LIMITED': 1.6099999999999999, 'STANDARD LIFE HOLDINGS LIMITED': 1.5, 'RBS LIFE HOLDINGS LIMITED': 1.4, 'NP LIFE HOLDINGS LIMITED': 1.2999999999999998, 'FRIENDS LIFE HOLDINGS PLC': 1.2}",EQUI LIFE HOLDINGS LIMITED
Sig plc,,sig ,,"[('SIG PLC', 0.9), ('SIG S.R.L.', 0.8), ('SIG Pensionskasse', 0.7), ('SIG LECCE 2 S.R.L.', 0.6), ('SIG MARCHE 1 S.R.L.', 0.5)]",,"[('SIG PLC', 100), ('SIG Pensionskasse', 86), ('SIG LECCE 2 S.R.L.', 86), ('SIG MARCHE 1 S.R.L.', 86), ('SIG S.R.L.', 62)]","{'SIG PLC': 1.9, 'SIG S.R.L.': 1.42, 'SIG Pensionskasse': 1.56, 'SIG LECCE 2 S.R.L.': 1.46, 'SIG MARCHE 1 S.R.L.': 1.3599999999999999}",SIG PLC
Restaurant Group,,restaurant ,,"[('C&R RESTAURANT GROUP, L.P.', 0.9), ('UNITED RESTAURANT GROUP, L.P.', 0.8), ('Restaurant Group Holding B.V.', 0.7), ('Briad Restaurant Group, L.L.C.', 0.6), ('DAVIS RESTAURANT GROUP, L.P.', 0.5)]",,"[('C&R RESTAURANT GROUP, L.P.', 90), ('UNITED RESTAURANT GROUP, L.P.', 90), ('Restaurant Group Holding B.V.', 90), ('Briad Restaurant Group, L.L.C.', 90), ('DAVIS RESTAURANT GROUP, L.P.', 90)]","{'C&R RESTAURANT GROUP, L.P.': 1.8, 'UNITED RESTAURANT GROUP, L.P.': 1.7000000000000002, 'Restaurant Group Holding B.V.': 1.6, 'Briad Restaurant Group, L.L.C.': 1.5, 'DAVIS RESTAURANT GROUP, L.P.': 1.4}","C&R RESTAURANT GROUP, L.P."
Arthur J. Gallagher & Co.,,arthur j gallagher & ,,"[('ARTHUR J. GALLAGHER & CO.', 0.9), ('Arthur J. Gallagher & Co. (Illinois)', 0.8), ('Gallagher Europe B.V.', 0.7), ('Gallagher Family Trust', 0.6), ('HANNAH GALLAGHER LTD', 0.5)]",,"[('ARTHUR J. GALLAGHER & CO.', 100), ('Arthur J. Gallagher & Co. (Illinois)', 95), ('Gallagher Europe B.V.', 65), ('HANNAH GALLAGHER LTD', 60), ('Gallagher Family Trust', 57)]","{'ARTHUR J. GALLAGHER & CO.': 1.9, 'Arthur J. Gallagher & Co. (Illinois)': 1.75, 'Gallagher Europe B.V.': 1.35, 'Gallagher Family Trust': 1.17, 'HANNAH GALLAGHER LTD': 1.1}",ARTHUR J. GALLAGHER & CO.
TJX Companies Inc,,tjx  ,,"[('THE TJX COMPANIES, INC.', 0.9), ('The TJX Companies, Inc. Retirement Plan', 0.8), ('Rowan Companies, Inc.', 0.7), ('WISCHMEIER COMPANIES INC.', 0.6), ('FERRELL COMPANIES, INC.', 0.5)]",,"[('THE TJX COMPANIES, INC.', 95), ('The TJX Companies, Inc. Retirement Plan', 86), ('Rowan Companies, Inc.', 83), ('WISCHMEIER COMPANIES INC.', 83), ('FERRELL COMPANIES, INC.', 83)]","{'THE TJX COMPANIES, INC.': 1.85, 'The TJX Companies, Inc. Retirement Plan': 1.6600000000000001, 'Rowan Companies, Inc.': 1.5299999999999998, 'WISCHMEIER COMPANIES INC.': 1.43, 'FERRELL COMPANIES, INC.': 1.33}","THE TJX COMPANIES, INC."
Southwest Airlines Co.,,southwest airlines ,,"[('SOUTHWEST AIRLINES CO.', 0.9), ('Southwest Airlines 1993 Trust N363SW', 0.8), ('Southwest Airlines Federal Credit Union', 0.7), ('BRUSSELS AIRLINES', 0.6), ('Transavia Airlines C.V.', 0.5)]",,"[('SOUTHWEST AIRLINES CO.', 100), ('Southwest Airlines 1993 Trust N363SW', 86), ('Southwest Airlines Federal Credit Union', 86), ('BRUSSELS AIRLINES', 63), ('Transavia Airlines C.V.', 60)]","{'SOUTHWEST AIRLINES CO.': 1.9, 'Southwest Airlines 1993 Trust N363SW': 1.6600000000000001, 'Southwest Airlines Federal Credit Union': 1.56, 'BRUSSELS AIRLINES': 1.23, 'Transavia Airlines C.V.': 1.1}",SOUTHWEST AIRLINES CO.
Take-Two Interactive Software Inc.,,take-two interactive software ,,"[('Take-Two Interactive Software, Inc.', 0.9), ('Take-Two Interactive Software UK Limited', 0.8), ('INTERACTIVE BROKERS SOFTWARE SERVICES (INDIA) PRIVATE LIMITED', 0.7), ('HS Interactive s.r.o.', 0.6), ('BOHEMIA INTERACTIVE a.s.', 0.5)]",,"[('Take-Two Interactive Software, Inc.', 99), ('Take-Two Interactive Software UK Limited', 89), ('INTERACTIVE BROKERS SOFTWARE SERVICES (INDIA) PRIVATE LIMITED', 86), ('HS Interactive s.r.o.', 86), ('BOHEMIA INTERACTIVE a.s.', 62)]","{'Take-Two Interactive Software, Inc.': 1.8900000000000001, 'Take-Two Interactive Software UK Limited': 1.69, 'INTERACTIVE BROKERS SOFTWARE SERVICES (INDIA) PRIVATE LIMITED': 1.56, 'HS Interactive s.r.o.': 1.46, 'BOHEMIA INTERACTIVE a.s.': 1.12}","Take-Two Interactive Software, Inc."
United Rentals Inc.,,united rentals ,,"[('UNITED RENTALS, INC.', 0.9), ('UNITED RENTALS OF CANADA, INC.', 0.8), ('Freitas Rentals 3, L.P.', 0.7), ('J. M. RENTALS 3, LLP', 0.6), ('B.E. Rentals, LLC', 0.5)]",,"[('UNITED RENTALS, INC.', 97), ('UNITED RENTALS OF CANADA, INC.', 86), ('B.E. Rentals, LLC', 63), ('Freitas Rentals 3, L.P.', 55), ('J. M. RENTALS 3, LLP', 55)]","{'UNITED RENTALS, INC.': 1.87, 'UNITED RENTALS OF CANADA, INC.': 1.6600000000000001, 'Freitas Rentals 3, L.P.': 1.25, 'J. M. RENTALS 3, LLP': 1.15, 'B.E. Rentals, LLC': 1.13}","UNITED RENTALS, INC."
Tokyo Electron,,tokyo electron,,"[('Tokyo Electron Limited', 0.9), ('ELECTRON S.R.L.', 0.8), ('D. ELECTRON - S.R.L.', 0.7), ('ELECTRON MEC S.R.L.', 0.6), ('DEA ELECTRON S.R.L.', 0.5)]",,"[('Tokyo Electron Limited', 90), ('ELECTRON S.R.L.', 69), ('D. ELECTRON - S.R.L.', 69), ('ELECTRON MEC S.R.L.', 69), ('DEA ELECTRON S.R.L.', 69)]","{'Tokyo Electron Limited': 1.8, 'ELECTRON S.R.L.': 1.49, 'D. ELECTRON - S.R.L.': 1.39, 'ELECTRON MEC S.R.L.': 1.29, 'DEA ELECTRON S.R.L.': 1.19}",Tokyo Electron Limited
Brookfield Asset Management,,brookfield asset management,,"[('BROOKFIELD ASSET MANAGEMENT INC.', 0.9), ('Brookfield Global Real Asset Fund', 0.8), ('Point72 Asset Management, L.P.', 0.7), ('POINT72 ASSET MANAGEMENT, L.P.', 0.6), ('1832 Asset Management L.P.', 0.5)]",,"[('BROOKFIELD ASSET MANAGEMENT INC.', 95), ('1832 Asset Management L.P.', 74), ('Brookfield Global Real Asset Fund', 70), ('Point72 Asset Management, L.P.', 70), ('POINT72 ASSET MANAGEMENT, L.P.', 70)]","{'BROOKFIELD ASSET MANAGEMENT INC.': 1.85, 'Brookfield Global Real Asset Fund': 1.5, 'Point72 Asset Management, L.P.': 1.4, 'POINT72 ASSET MANAGEMENT, L.P.': 1.2999999999999998, '1832 Asset Management L.P.': 1.24}",BROOKFIELD ASSET MANAGEMENT INC.
Wesfarmers,,wesfarmers,,"[('WESFARMERS LIMITED', 0.9), (""THE YOUNG MEN'S CHRISTIAN ASSOCIATION OF METROPOLITAN DENVER"", 0.8), ('Työstökoneliike M. Koskela Oy', 0.7), ('Työväen Teatterin talosäätiö sr', 0.6), ('Työväen Sivistysliitto TSL ry, ruotsiksi Arbetarnas Bildningsförbund ABF rf', 0.5)]",,"[('WESFARMERS LIMITED', 90), ('Työväen Sivistysliitto TSL ry, ruotsiksi Arbetarnas Bildningsförbund ABF rf', 45), (""THE YOUNG MEN'S CHRISTIAN ASSOCIATION OF METROPOLITAN DENVER"", 36), ('Työväen Teatterin talosäätiö sr', 36), ('Työstökoneliike M. Koskela Oy', 26)]","{'WESFARMERS LIMITED': 1.8, ""THE YOUNG MEN'S CHRISTIAN ASSOCIATION OF METROPOLITAN DENVER"": 1.1600000000000001, 'Työstökoneliike M. Koskela Oy': 0.96, 'Työväen Teatterin talosäätiö sr': 0.96, 'Työväen Sivistysliitto TSL ry, ruotsiksi Arbetarnas Bildningsförbund ABF rf': 0.95}",WESFARMERS LIMITED
TELENOR ASA,,telenor asa,,"[('TELENOR ASA', 0.9), ('BANK2 ASA', 0.8), ('B2HOLDING ASA', 0.7), ('TELENOR KAPITALFORVALTNING AS', 0.6), ('Telenor Sverige Aktiebolag', 0.5)]",,"[('TELENOR ASA', 100), ('TELENOR KAPITALFORVALTNING AS', 86), ('Telenor Sverige Aktiebolag', 86), ('BANK2 ASA', 50), ('B2HOLDING ASA', 50)]","{'TELENOR ASA': 1.9, 'BANK2 ASA': 1.3, 'B2HOLDING ASA': 1.2, 'TELENOR KAPITALFORVALTNING AS': 1.46, 'Telenor Sverige Aktiebolag': 1.3599999999999999}",TELENOR ASA
3i Infrastructure plc,,3i infrastructure ,,"[('3I INFRASTRUCTURE PLC', 0.9), ('HICL INFRASTRUCTURE PLC', 0.8), ('ATLANTICA SUSTAINABLE INFRASTRUCTURE PLC', 0.7), ('GLOBAL DIVERSIFIED INFRASTRUCTURE PLC', 0.6), ('BUUK INFRASTRUCTURE ISSUER PLC', 0.5)]",,"[('3I INFRASTRUCTURE PLC', 100), ('HICL INFRASTRUCTURE PLC', 91), ('BUUK INFRASTRUCTURE ISSUER PLC', 87), ('ATLANTICA SUSTAINABLE INFRASTRUCTURE PLC', 86), ('GLOBAL DIVERSIFIED INFRASTRUCTURE PLC', 86)]","{'3I INFRASTRUCTURE PLC': 1.9, 'HICL INFRASTRUCTURE PLC': 1.71, 'ATLANTICA SUSTAINABLE INFRASTRUCTURE PLC': 1.56, 'GLOBAL DIVERSIFIED INFRASTRUCTURE PLC': 1.46, 'BUUK INFRASTRUCTURE ISSUER PLC': 1.37}",3I INFRASTRUCTURE PLC
Seattle Genetics,,seattle genetics,,"[('CANADA GENETICS', 0.9), ('Hendrix Genetics B.V.', 0.8), ('ANGANY GENETICS', 0.7), ('Seattle Bank', 0.6), ('Seattle University', 0.5)]",,"[('Seattle Bank', 70), ('CANADA GENETICS', 66), ('ANGANY GENETICS', 66), ('Seattle University', 65), ('Hendrix Genetics B.V.', 64)]","{'CANADA GENETICS': 1.56, 'Hendrix Genetics B.V.': 1.44, 'ANGANY GENETICS': 1.3599999999999999, 'Seattle Bank': 1.2999999999999998, 'Seattle University': 1.15}",CANADA GENETICS
Fortescue Metals Group,,fortescue metals ,,"[('Fortescue Metals Group Ltd.', 0.9), (""THE EARL FORTESCUE DEC'D W/T FOR COUNTESS FORTESCUE"", 0.8), ('Wise Metals Group LLC', 0.7), ('Platinum Group Metals Ltd.', 0.6), ('Markowitz Metals Group, LLC', 0.5)]",,"[('Fortescue Metals Group Ltd.', 95), (""THE EARL FORTESCUE DEC'D W/T FOR COUNTESS FORTESCUE"", 86), ('Wise Metals Group LLC', 70), ('Platinum Group Metals Ltd.', 67), ('Markowitz Metals Group, LLC', 67)]","{'Fortescue Metals Group Ltd.': 1.85, ""THE EARL FORTESCUE DEC'D W/T FOR COUNTESS FORTESCUE"": 1.6600000000000001, 'Wise Metals Group LLC': 1.4, 'Platinum Group Metals Ltd.': 1.27, 'Markowitz Metals Group, LLC': 1.17}",Fortescue Metals Group Ltd.
Suncor Energy,,suncor energy,,"[('Suncor Energy (U.S. Finco) B.V.', 0.9), ('Suncor Energy Inc.', 0.8), ('Suncor Energy Germany GmbH', 0.7), ('SUNCOR ENERGY (U.S.A.) MARKETING INC.', 0.6), ('SUNCOR ENERGY SERVICES INC.', 0.5)]",,"[('Suncor Energy Inc.', 95), ('Suncor Energy (U.S. Finco) B.V.', 90), ('Suncor Energy Germany GmbH', 90), ('SUNCOR ENERGY (U.S.A.) MARKETING INC.', 90), ('SUNCOR ENERGY SERVICES INC.', 90)]","{'Suncor Energy (U.S. Finco) B.V.': 1.8, 'Suncor Energy Inc.': 1.75, 'Suncor Energy Germany GmbH': 1.6, 'SUNCOR ENERGY (U.S.A.) MARKETING INC.': 1.5, 'SUNCOR ENERGY SERVICES INC.': 1.4}",Suncor Energy (U.S. Finco) B.V.
Tesla Inc,,tesla ,,"[('TESLA, INC.', 0.9), ('TESLA S.R.L.', 0.8), ('Tesla Engineering Inc', 0.7), ('TESLA ONE', 0.6), ('Tesla Holdings S.A.', 0.5)]",,"[('TESLA, INC.', 95), ('Tesla Engineering Inc', 86), ('Tesla Holdings S.A.', 86), ('TESLA ONE', 78), ('TESLA S.R.L.', 67)]","{'TESLA, INC.': 1.85, 'TESLA S.R.L.': 1.4700000000000002, 'Tesla Engineering Inc': 1.56, 'TESLA ONE': 1.38, 'Tesla Holdings S.A.': 1.3599999999999999}","TESLA, INC."
Hengan International Group Company Ltd,Hengan International,hengan international   ,hengan international,"[('Group International Finance Company', 0.9), ('I.W.G INTERNATIONAL WEALTH GROUP LTD', 0.8), ('SIRIUS INTERNATIONAL GROUP, LTD.', 0.7), ('Silver International Group Ltd', 0.6), ('ARCTIC INTERNATIONAL GROUP LTD.', 0.5)]",,"[('Group International Finance Company', 83), ('SIRIUS INTERNATIONAL GROUP, LTD.', 83), ('Silver International Group Ltd', 83), ('ARCTIC INTERNATIONAL GROUP LTD.', 83), ('I.W.G INTERNATIONAL WEALTH GROUP LTD', 74)]","{'Group International Finance Company': 1.73, 'I.W.G INTERNATIONAL WEALTH GROUP LTD': 1.54, 'SIRIUS INTERNATIONAL GROUP, LTD.': 1.5299999999999998, 'Silver International Group Ltd': 1.43, 'ARCTIC INTERNATIONAL GROUP LTD.': 1.33}",Group International Finance Company
Mitsui Fudosan,,mitsui fudosan,,"[('MITSUI & CO. (U.S.A.), INC.', 0.9), ('Mitsui & Co. Deutschland GmbH', 0.8), ('Mitsui Seiki (U.S.A.), Inc.', 0.7), ('MITSUI E&P USA LLC', 0.6), ('Mitsui E&P Middle East B.V.', 0.5)]",,"[('MITSUI & CO. (U.S.A.), INC.', 86), ('Mitsui & Co. Deutschland GmbH', 86), ('Mitsui Seiki (U.S.A.), Inc.', 86), ('Mitsui E&P Middle East B.V.', 86), ('MITSUI E&P USA LLC', 62)]","{'MITSUI & CO. (U.S.A.), INC.': 1.76, 'Mitsui & Co. Deutschland GmbH': 1.6600000000000001, 'Mitsui Seiki (U.S.A.), Inc.': 1.56, 'MITSUI E&P USA LLC': 1.22, 'Mitsui E&P Middle East B.V.': 1.3599999999999999}","MITSUI & CO. (U.S.A.), INC."
B&M European Value Retail SA,,b&m european value retail sa,,"[('CD&R European Value Retail Investment S.à r.l.', 0.9), ('B&M EUROPEAN VALUE RETAIL HOLDCO 4 LTD', 0.8), ('CD&R European Value Retail Investment (Cayman) LP', 0.7), ('RETAIL VALUE INC.', 0.6), ('THE B&M EUROPEAN VALUE RETAIL S.A. EMPLOYEE SHARE OWNERSHIP TRUST', 0.5)]",,"[('B&M EUROPEAN VALUE RETAIL HOLDCO 4 LTD', 89), ('CD&R European Value Retail Investment S.à r.l.', 86), ('CD&R European Value Retail Investment (Cayman) LP', 86), ('RETAIL VALUE INC.', 86), ('THE B&M EUROPEAN VALUE RETAIL S.A. EMPLOYEE SHARE OWNERSHIP TRUST', 86)]","{'CD&R European Value Retail Investment S.à r.l.': 1.76, 'B&M EUROPEAN VALUE RETAIL HOLDCO 4 LTD': 1.69, 'CD&R European Value Retail Investment (Cayman) LP': 1.56, 'RETAIL VALUE INC.': 1.46, 'THE B&M EUROPEAN VALUE RETAIL S.A. EMPLOYEE SHARE OWNERSHIP TRUST': 1.3599999999999999}",CD&R European Value Retail Investment S.à r.l.
ATLANTIA SPA,,atlantia spa,,"[('ATLANTIA S.P.A.', 0.9), ('Atlantia 1 ApS', 0.8), ('ATLANTIA HOLDINGS INCORPORATED', 0.7), ('I.M.E.C. SPA', 0.6), ('SAFETY21 SPA', 0.5)]",,"[('ATLANTIA S.P.A.', 92), ('ATLANTIA HOLDINGS INCORPORATED', 86), ('Atlantia 1 ApS', 77), ('SAFETY21 SPA', 50), ('I.M.E.C. SPA', 42)]","{'ATLANTIA S.P.A.': 1.82, 'Atlantia 1 ApS': 1.57, 'ATLANTIA HOLDINGS INCORPORATED': 1.56, 'I.M.E.C. SPA': 1.02, 'SAFETY21 SPA': 1.0}",ATLANTIA S.P.A.
Westinghouse Air Brake Technologies Corporation,,westinghouse air brake technologies ,,"[('Westinghouse Air Brake Technologies Corporation', 0.9), ('THE AIR BRAKE CENTRE LIMITED', 0.8), ('NEW YORK AIR BRAKE LLC', 0.7), ('KNORR BRAKE HOLDING CORPORATION', 0.6), ('Air Treatment Corporation', 0.5)]",,"[('Westinghouse Air Brake Technologies Corporation', 100), ('THE AIR BRAKE CENTRE LIMITED', 86), ('NEW YORK AIR BRAKE LLC', 86), ('KNORR BRAKE HOLDING CORPORATION', 86), ('Air Treatment Corporation', 86)]","{'Westinghouse Air Brake Technologies Corporation': 1.9, 'THE AIR BRAKE CENTRE LIMITED': 1.6600000000000001, 'NEW YORK AIR BRAKE LLC': 1.56, 'KNORR BRAKE HOLDING CORPORATION': 1.46, 'Air Treatment Corporation': 1.3599999999999999}",Westinghouse Air Brake Technologies Corporation
THALES SA,,thales sa,,"[('Thales', 0.9), ('THALES ESPAÑA GRP SA', 0.8), ('THALES ALENIA SPACE ESPAÑA SA', 0.7), ('Thales Cryogenics B.V.', 0.6), ('THALES ITALIA S.P.A.', 0.5)]",,"[('Thales', 90), ('THALES ESPAÑA GRP SA', 86), ('THALES ALENIA SPACE ESPAÑA SA', 86), ('Thales Cryogenics B.V.', 86), ('THALES ITALIA S.P.A.', 86)]","{'Thales': 1.8, 'THALES ESPAÑA GRP SA': 1.6600000000000001, 'THALES ALENIA SPACE ESPAÑA SA': 1.56, 'Thales Cryogenics B.V.': 1.46, 'THALES ITALIA S.P.A.': 1.3599999999999999}",Thales
Huntington Bancshares Incorporated,,huntington bancshares incorporated,,"[('HUNTINGTON BANCSHARES INCORPORATED', 0.9), ('55 W. HUNTINGTON, LLC', 0.8), ('Huntington Place L.L.C.', 0.7), ('M.G. HUNTINGTON LLC', 0.6), ('TB&T BANCSHARES, INC.', 0.5)]",,"[('HUNTINGTON BANCSHARES INCORPORATED', 100), ('55 W. HUNTINGTON, LLC', 86), ('Huntington Place L.L.C.', 86), ('M.G. HUNTINGTON LLC', 86), ('TB&T BANCSHARES, INC.', 86)]","{'HUNTINGTON BANCSHARES INCORPORATED': 1.9, '55 W. HUNTINGTON, LLC': 1.6600000000000001, 'Huntington Place L.L.C.': 1.56, 'M.G. HUNTINGTON LLC': 1.46, 'TB&T BANCSHARES, INC.': 1.3599999999999999}",HUNTINGTON BANCSHARES INCORPORATED
IBM,International Business Machines Corporation,ibm,international business machines ,"[('IBM S.R.L.', 0.9), ('CIBANCO S.A IBM CIB/2622', 0.8), ('IBM ITALIA S.P.A.', 0.7), ('IBM International L.P.', 0.6), ('IBM Nederland B.V.', 0.5)]",,"[('IBM S.R.L.', 90), ('CIBANCO S.A IBM CIB/2622', 90), ('IBM ITALIA S.P.A.', 90), ('IBM International L.P.', 90), ('IBM Nederland B.V.', 90)]","{'IBM S.R.L.': 1.8, 'CIBANCO S.A IBM CIB/2622': 1.7000000000000002, 'IBM ITALIA S.P.A.': 1.6, 'IBM International L.P.': 1.5, 'IBM Nederland B.V.': 1.4}",IBM S.R.L.
Rolls Royce Holdings Plc,Rolls Royce,rolls royce holdings ,rolls royce,"[('ROLLS-ROYCE PLC', 0.9), ('ROLLS-ROYCE AB', 0.8), ('ROLLS-ROYCE CORPORATION', 0.7), ('ROLLS-ROYCE POWER ENGINEERING PLC', 0.6), ('ROLLS-ROYCE OVERSEAS HOLDINGS LIMITED', 0.5)]",,"[('ROLLS-ROYCE PLC', 86), ('ROLLS-ROYCE AB', 86), ('ROLLS-ROYCE OVERSEAS HOLDINGS LIMITED', 86), ('ROLLS-ROYCE POWER ENGINEERING PLC', 73), ('ROLLS-ROYCE CORPORATION', 64)]","{'ROLLS-ROYCE PLC': 1.76, 'ROLLS-ROYCE AB': 1.6600000000000001, 'ROLLS-ROYCE CORPORATION': 1.3399999999999999, 'ROLLS-ROYCE POWER ENGINEERING PLC': 1.33, 'ROLLS-ROYCE OVERSEAS HOLDINGS LIMITED': 1.3599999999999999}",ROLLS-ROYCE PLC
Barclays plc,,barclays ,,"[('BARCLAYS PORTFOLIOS PLC - BARCLAYS UK BALANCED PORTFOLIO', 0.9), ('BARCLAYS PORTFOLIOS PLC - BARCLAYS UK GROWTH PORTFOLIO', 0.8), ('BARCLAYS V10', 0.7), ('BARCLAYS V8', 0.6), ('BARCLAYS PORTFOLIOS PLC - BARCLAYS UK BALANCED PLUS PORTFOLIO', 0.5)]",,"[('BARCLAYS PORTFOLIOS PLC - BARCLAYS UK BALANCED PORTFOLIO', 86), ('BARCLAYS PORTFOLIOS PLC - BARCLAYS UK GROWTH PORTFOLIO', 86), ('BARCLAYS PORTFOLIOS PLC - BARCLAYS UK BALANCED PLUS PORTFOLIO', 86), ('BARCLAYS V8', 80), ('BARCLAYS V10', 76)]","{'BARCLAYS PORTFOLIOS PLC - BARCLAYS UK BALANCED PORTFOLIO': 1.76, 'BARCLAYS PORTFOLIOS PLC - BARCLAYS UK GROWTH PORTFOLIO': 1.6600000000000001, 'BARCLAYS V10': 1.46, 'BARCLAYS V8': 1.4, 'BARCLAYS PORTFOLIOS PLC - BARCLAYS UK BALANCED PLUS PORTFOLIO': 1.3599999999999999}",BARCLAYS PORTFOLIOS PLC - BARCLAYS UK BALANCED PORTFOLIO
PVH Corp.,,pvh ,,"[('PVH Beleggingen B.V.', 0.9), ('PVH Europe B.V.', 0.8), ('PVH CORP.', 0.7), ('Gothenburg PVH AB', 0.6), ('PVH Asia Limited', 0.5)]",,"[('PVH CORP.', 100), ('PVH Beleggingen B.V.', 86), ('PVH Europe B.V.', 86), ('Gothenburg PVH AB', 86), ('PVH Asia Limited', 86)]","{'PVH Beleggingen B.V.': 1.76, 'PVH Europe B.V.': 1.6600000000000001, 'PVH CORP.': 1.7, 'Gothenburg PVH AB': 1.46, 'PVH Asia Limited': 1.3599999999999999}",PVH Beleggingen B.V.
